date,open,high,low,close,Volume USD
1646809200,2720.53,2748.73,2717.25,2745.89,1703465.77911135
1646805600,2716.33,2727.43,2705.65,2722.61,1626795.11845721
1646802000,2720.39,2725.02,2706.23,2715.65,1557263.6885838
1646798400,2701.02,2731,2701,2720.39,2340409.93756568
1646794800,2624.11,2713.47,2618.01,2700.06,1848472.78651123
1646791200,2622.02,2633.69,2607.05,2622.4,443541.2059628
1646787600,2589.35,2625.79,2587.28,2619.81,1450509.78732912
1646784000,2577.72,2591.2,2568.16,2588.72,548749.889595006
1646780400,2569.67,2587.67,2566.93,2577.82,252466.335533619
1646776800,2559.35,2575.8,2557.55,2569.67,291899.932925862
1646773200,2550.35,2563.92,2549.53,2559.83,834831.867423026
1646769600,2581.37,2590.02,2549.6,2552.63,1468777.35605684
1646766000,2569.24,2583.12,2554.85,2580.8,856396.4994168
1646762400,2595.1,2624.56,2569.92,2570.34,1386475.75694771
1646758800,2540.39,2606,2540.39,2593.02,1723239.33366452
1646755200,2562.31,2589.78,2524.92,2540.26,3078700.39820086
1646751600,2572.75,2579.68,2531.9,2558.61,2111860.79108748
1646748000,2589.17,2608.44,2561.81,2572.75,1657463.89192801
1646744400,2574.94,2596.3,2556.5,2587.33,434235.98185644
1646740800,2588.17,2600.52,2565.58,2574.67,828908.312615467
1646737200,2596.64,2601.77,2571.2,2587.72,1665549.19935669
1646733600,2585.18,2607.87,2568.67,2597.59,1013339.34201599
1646730000,2571.8,2592.83,2565.65,2583.67,418992.343889131
1646726400,2536.69,2587.71,2527.28,2569.07,1733212.79734458
1646722800,2516.22,2546.05,2511.8,2536.49,779811.447651927
1646719200,2525.28,2535.05,2495.26,2517.78,428925.442547415
1646715600,2541.15,2546.48,2515.85,2525.6,792286.811671432
1646712000,2551.38,2564.85,2537.42,2540.43,292030.63698499
1646708400,2548.01,2553.79,2535.1,2549.65,359487.974950451
1646704800,2523.86,2571.36,2514.84,2545.69,1033445.88144425
1646701200,2517.38,2549.81,2507.08,2524.87,1387292.53533127
1646697600,2492.12,2528.81,2481.11,2516.75,1535142.21421734
1646694000,2503.77,2527.56,2486.88,2493.23,866353.313079444
1646690400,2480.2,2527.83,2469.93,2502.93,2223459.16335675
1646686800,2467.69,2506.18,2461,2483.55,2941898.06576227
1646683200,2459.09,2486.12,2444.75,2467.26,1447149.48039468
1646679600,2521.85,2527.53,2447.62,2461.21,2521698.65312971
1646676000,2564.03,2567.8,2514.54,2522.48,2403142.89403007
1646672400,2591.79,2592.58,2566.32,2576.79,1605893.08613148
1646668800,2616.66,2638.35,2591.62,2593.52,809750.884988562
1646665200,2610.03,2621.65,2593.03,2618.39,1842088.96032258
1646661600,2622.12,2648.39,2609.82,2609.82,1125222.46524577
1646658000,2562,2627.11,2557.09,2621.67,1641989.56299029
1646654400,2541.6,2569.71,2541.6,2560.05,1116151.27741987
1646650800,2521.99,2544.17,2518.45,2539.96,374042.115357822
1646647200,2532.75,2533.47,2517.65,2521.65,3603750.5063323
1646643600,2535.99,2548.25,2527.57,2531.3,1348359.2062217
1646640000,2523.67,2535.74,2484.14,2533.9,3998758.94169463
1646636400,2540.06,2541.24,2514.75,2521.19,1024284.05565854
1646632800,2530.43,2541.24,2528.46,2539.26,202243.526603941
1646629200,2525.99,2543.12,2520.02,2530.9,228037.751301176
1646625600,2526.18,2532.77,2520.39,2527.37,300137.203931212
1646622000,2520.4,2529.59,2505.59,2527.41,1143536.5407675
1646618400,2545.66,2548.85,2507.36,2519.96,775523.307394034
1646614800,2542.62,2557.97,2540.44,2547.22,317134.157752849
1646611200,2549.94,2555.01,2515,2541.53,1285869.95068861
1646607600,2628.84,2631.55,2533.06,2549.4,1698401.52309143
1646604000,2631.04,2644.29,2627.52,2628.77,88125.945431848
1646600400,2616.37,2643.52,2614.36,2628.71,900821.656639263
1646596800,2605.04,2622.73,2605.04,2617.24,281478.418414475
1646593200,2625.23,2628.89,2604.17,2606.45,362659.336093439
1646589600,2631.55,2638.38,2618.52,2624.3,268901.676350559
1646586000,2649.4,2649.4,2627.85,2631.68,205376.138430362
1646582400,2626.47,2655.84,2619.95,2646.45,371676.507437079
1646578800,2628.46,2630.25,2612.08,2627.74,276269.594601539
1646575200,2640.81,2641.86,2622.76,2627.02,134781.863609903
1646571600,2619.53,2647.27,2619.53,2638.7,532170.736110426
1646568000,2607.94,2623.28,2605.87,2618.42,263927.899251447
1646564400,2600.49,2609.06,2591.49,2608.98,827777.646912368
1646560800,2609.87,2610.41,2589.78,2599.77,1090398.30930442
1646557200,2634.15,2636.45,2608.04,2608.04,684287.287845715
1646553600,2646.33,2648.44,2633.69,2636.16,596893.190783347
1646550000,2648.72,2650.78,2637.14,2645.94,404637.878068327
1646546400,2649.97,2660.93,2645.41,2647.6,167126.37060336
1646542800,2648.59,2657,2646.75,2651.62,59410.8417610806
1646539200,2642.29,2657.62,2616.75,2646.63,533168.689895138
1646535600,2664.61,2666.18,2635.81,2636.69,197261.93847949
1646532000,2659.07,2666.74,2653.49,2664.76,238249.380047078
